config_name,config_id,dU,dV,dW,sigma,n_samples,stable_without_diffusion,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I
RMT_1823_CDD_Type3_Var1,11,1.0,0.0,0.0,2.4,1000000,334549,103770,103770,0,103770,0,10.377,10.377,0.0
RMT_1823_CDD_Type3_Var1,11,1.0,0.0,0.0,2.6,1000000,311422,106919,106919,0,106919,0,10.6919,10.6919,0.0
RMT_1823_CDD_Type3_Var1,11,1.0,0.0,0.0,2.8,1000000,291815,109345,109345,0,109345,0,10.9345,10.9345,0.0
RMT_1823_CDD_Type3_Var1,11,1.0,0.0,0.0,3.0,1000000,275255,111168,111168,0,111168,0,11.1168,11.1168,0.0
RMT_1823_CDD_Type3_Var1,11,1.0,0.0,0.0,3.2,1000000,260880,112316,112316,0,112316,0,11.2316,11.2316,0.0
RMT_1823_CDD_Type3_Var1,11,1.0,0.0,0.0,3.4,1000000,248189,113019,113019,0,113019,0,11.3019,11.3019,0.0
RMT_1823_CDD_Type3_Var1,11,1.0,0.0,0.0,3.6,1000000,237081,113318,113318,0,113318,0,11.3318,11.3318,0.0
RMT_1823_CDD_Type3_Var1,11,1.0,0.0,0.0,3.8,1000000,227296,113362,113362,0,113362,0,11.3362,11.3362,0.0
RMT_1823_CDD_Type3_Var1,11,1.0,0.0,0.0,4.0,1000000,218458,113223,113223,0,113223,0,11.3223,11.3223,0.0
RMT_1823_CDD_Type3_Var1,11,1.0,0.0,0.0,5.0,1000000,185417,110580,110580,0,110580,0,11.058,11.058,0.0
RMT_1823_CDD_Type3_Var1,11,1.0,0.0,0.0,6.0,1000000,162873,105820,105820,0,105820,0,10.582,10.582,0.0
RMT_1823_CDD_Type3_Var1,11,1.0,0.0,0.0,7.0,1000000,146496,100644,100644,0,100644,0,10.0644,10.0644,0.0
RMT_1823_CDD_Type3_Var1,11,1.0,0.0,0.0,8.0,1000000,133788,95796,95796,0,95796,0,9.5796,9.5796,0.0
RMT_1823_CDD_Type3_Var1,11,1.0,0.0,0.0,9.0,1000000,123343,90981,90981,0,90981,0,9.0981,9.0981,0.0
RMT_1823_CDD_Type3_Var1,11,1.0,0.0,0.0,10.0,1000000,114876,86545,86545,0,86545,0,8.6545,8.6545,0.0
RMT_1823_CDD_Type3_Var2,12,1.0,1.0,0.0,0.1,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type3_Var2,12,1.0,1.0,0.0,0.2,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type3_Var2,12,1.0,1.0,0.0,0.3,1000000,999998,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type3_Var2,12,1.0,1.0,0.0,0.4,1000000,999157,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type3_Var2,12,1.0,1.0,0.0,0.5,1000000,990811,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type3_Var2,12,1.0,1.0,0.0,0.6,1000000,965208,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type3_Var2,12,1.0,1.0,0.0,0.7,1000000,921791,2,2,2,0,0,0.0002,0.0002,0.0002
RMT_1823_CDD_Type3_Var2,12,1.0,1.0,0.0,0.8,1000000,866434,11,11,11,0,0,0.0011,0.0011,0.0011
RMT_1823_CDD_Type3_Var2,12,1.0,1.0,0.0,0.9,1000000,806963,51,51,51,0,0,0.0051,0.0051,0.0051
RMT_1823_CDD_Type3_Var2,12,1.0,1.0,0.0,1.0,1000000,748444,142,142,142,0,0,0.0142,0.0142,0.0142
RMT_1823_CDD_Type3_Var2,12,1.0,1.0,0.0,1.1,1000000,693273,293,293,293,0,0,0.0293,0.0293,0.0293
RMT_1823_CDD_Type3_Var2,12,1.0,1.0,0.0,1.2,1000000,642962,496,496,496,0,0,0.0496,0.0496,0.0496
RMT_1823_CDD_Type3_Var2,12,1.0,1.0,0.0,1.3,1000000,597884,821,821,821,0,0,0.0821,0.0821,0.0821
RMT_1823_CDD_Type3_Var2,12,1.0,1.0,0.0,1.4,1000000,557987,1222,1222,1222,0,0,0.1222,0.1222,0.1222
RMT_1823_CDD_Type3_Var2,12,1.0,1.0,0.0,1.5,1000000,522340,1734,1734,1734,0,0,0.1734,0.1734,0.1734
RMT_1823_CDD_Type3_Var2,12,1.0,1.0,0.0,1.6,1000000,490763,2248,2248,2248,0,0,0.2248,0.2248,0.2248
RMT_1823_CDD_Type3_Var2,12,1.0,1.0,0.0,1.8,1000000,438213,3700,3700,3700,0,0,0.37,0.37,0.37
RMT_1823_CDD_Type3_Var2,12,1.0,1.0,0.0,2.0,1000000,396326,5260,5260,5260,0,0,0.526,0.526,0.526
RMT_1823_CDD_Type3_Var2,12,1.0,1.0,0.0,2.2,1000000,362146,6850,6850,6850,0,0,0.685,0.685,0.685
RMT_1823_CDD_Type3_Var2,12,1.0,1.0,0.0,2.4,1000000,334549,8638,8638,8638,0,0,0.8638,0.8638,0.8638
RMT_1823_CDD_Type3_Var2,12,1.0,1.0,0.0,2.6,1000000,311422,10322,10322,10322,0,0,1.0322,1.0322,1.0322
RMT_1823_CDD_Type3_Var2,12,1.0,1.0,0.0,2.8,1000000,291815,12016,12016,12016,0,0,1.2016,1.2016,1.2016
RMT_1823_CDD_Type3_Var2,12,1.0,1.0,0.0,3.0,1000000,275255,13512,13512,13512,0,0,1.3512,1.3512,1.3512
RMT_1823_CDD_Type3_Var2,12,1.0,1.0,0.0,3.2,1000000,260880,15055,15055,15055,0,0,1.5055,1.5055,1.5055
RMT_1823_CDD_Type3_Var2,12,1.0,1.0,0.0,3.4,1000000,248189,16455,16455,16455,0,0,1.6455,1.6455,1.6455
RMT_1823_CDD_Type3_Var2,12,1.0,1.0,0.0,3.6,1000000,237081,17695,17695,17695,0,0,1.7695,1.7695,1.7695
RMT_1823_CDD_Type3_Var2,12,1.0,1.0,0.0,3.8,1000000,227296,18862,18862,18862,0,0,1.8862,1.8862,1.8862
RMT_1823_CDD_Type3_Var2,12,1.0,1.0,0.0,4.0,1000000,218458,19867,19867,19867,0,0,1.9867,1.9867,1.9867
RMT_1823_CDD_Type3_Var2,12,1.0,1.0,0.0,5.0,1000000,185417,24358,24358,24358,0,0,2.4358,2.4358,2.4358
RMT_1823_CDD_Type3_Var2,12,1.0,1.0,0.0,6.0,1000000,162873,27099,27099,27099,0,0,2.7099,2.7099,2.7099
RMT_1823_CDD_Type3_Var2,12,1.0,1.0,0.0,7.0,1000000,146496,29142,29142,29142,0,0,2.9142,2.9142,2.9142
RMT_1823_CDD_Type3_Var2,12,1.0,1.0,0.0,8.0,1000000,133788,30338,30338,30338,0,0,3.0338,3.0338,3.0338
RMT_1823_CDD_Type3_Var2,12,1.0,1.0,0.0,9.0,1000000,123343,30813,30813,30813,0,0,3.0813,3.0813,3.0813
RMT_1823_CDD_Type3_Var2,12,1.0,1.0,0.0,10.0,1000000,114876,31154,31154,31154,0,0,3.1154,3.1154,3.1154
